J. A. FENNELLY and D. G. TORR Photon Cross Sections for O, N2, O2, and N
TABLE 1. Photoionization and Photoabsorption Cross Sections for O, N2, O2, and N
See page 331 for Explanation of Tables
Wavelength(Angstrom) | O->       | N2->              | O2->              | N-> |
|    | 4S  2D  2P  4pe  2pe  ION | ABS  N2+  N+  ION | ABS  O2+  O+  ION | ION |
|    |                                x10-18 cm2                               |

136.21 0.58 0.64 0.42 0.20 0.16 2.23 2.61 1.73 0.88 2.61 4.38 1.91 2.48 4.38 1.15
136.45 0.59 0.65 0.42 0.20 0.16 2.24 2.62 1.73 0.89 2.62 4.40 1.92 2.48 4.40 1.15
137.80 0.60 0.66 0.43 0.21 0.16 2.28 2.68 1.77 0.90 2.68 4.50 2.00 2.50 4.50 1.17
140.00 0.60 0.66 0.43 0.21 0.16 2.27 2.77 1.84 0.93 2.77 4.65 2.12 2.53 4.65 1.22
141.20 0.59 0.66 0.43 0.20 0.16 2.26 2.82 1.88 0.94 2.82 4.73 2.17 2.56 4.73 1.24
144.21 0.59 0.65 0.43 0.20 0.16 2.24 2.95 1.97 0.97 2.95 4.93 2.30 2.63 4.93 1.30
145.00 0.59 0.67 0.43 0.20 0.16 2.24 2.98 2.00 0.98 2.98 4.99 2.34 2.65 4.99 1.32
145.90 0.59 0.67 0.43 0.20 0.16 2.23 3.02 2.03 1.00 3.02 5.05 2.38 2.67 5.05 1.34
148.38 0.59 0.65 0.42 0.20 0.16 2.22 3.14 2.09 1.04 3.14 5.21 2.49 2.72 5.21 1.39
150.00 0.59 0.66 0.42 0.20 0.16 2.21 3.21 2.14 1.07 3.21 5.32 2.56 2.76 5.32 1.43
150.10 0.58 0.67 0.42 0.20 0.16 2.21 3.22 2.14 1.07 3.22 5.33 2.56 2.76 5.33 1.43
152.15 0.58 0.66 0.42 0.20 0.16 2.19 3.32 2.20 1.12 3.32 5.47 2.66 2.82 5.47 1.48
152.84 0.56 0.66 0.42 0.20 0.16 2.19 3.35 2.22 1.13 3.35 5.52 2.69 2.84 5.52 1.49
154.18 0.56 0.66 0.42 0.20 0.16 2.18 3.42 2.26 1.16 3.42 5.62 2.75 2.87 5.62 1.52
155.00 0.56 0.66 0.42 0.20 0.16 2.18 3.46 2.28 1.18 3.46 5.68 2.78 2.89 5.68 1.54
157.73 0.61 0.72 0.46 0.22 0.17 2.36 3.60 2.35 1.24 3.60 5.87 2.91 2.96 5.87 1.65
158.37 0.62 0.73 0.49 0.22 0.18 2.41 3.63 2.37 1.26 3.63 5.91 2.94 2.98 5.91 1.68
159.94 0.65 0.77 0.51 0.23 0.19 2.51 3.71 2.41 1.30 3.71 6.03 3.01 3.01 6.03 1.74
160.37 0.66 0.77 0.52 0.23 0.19 2.54 3.73 2.42 1.31 3.73 6.05 3.03 3.02 6.05 1.76
164.13 0.73 0.85 0.57 0.26 0.21 2.80 3.92 2.54 1.38 3.92 6.31 3.21 3.09 6.31 1.91
165.00 0.74 0.87 0.58 0.26 0.21 2.85 3.97 2.57 1.40 3.97 6.37 3.26 3.11 6.37 1.95
165.30 0.75 0.88 0.59 0.27 0.21 2.87 3.99 2.58 1.41 3.99 6.39 3.27 3.11 6.39 1.96
167.50 0.79 0.93 0.62 0.28 0.22 3.02 4.11 2.66 1.45 4.11 6.53 3.38 3.15 6.53 2.03
168.17 0.80 0.94 0.63 0.29 0.23 3.07 4.14 2.68 1.46 4.14 6.58 3.41 3.16 6.58 2.05
168.55 0.81 0.95 0.63 0.29 0.23 3.09 4.16 2.69 1.47 4.16 6.60 3.43 3.17 6.60 2.07
168.92 0.81 0.96 0.64 0.29 0.23 3.12 4.18 2.70 1.48 4.18 6.63 3.45 3.18 6.63 2.08
169.70 0.83 0.97 0.65 0.30 0.24 3.17 4.22 2.73 1.49 4.22 6.68 3.49 3.19 6.68 2.10
170.00 0.83 0.98 0.65 0.30 0.24 3.19 4.24 2.74 1.50 4.24 6.70 3.50 3.20 6.70 2.11
171.06 0.85 1.00 0.67 0.30 0.24 3.26 4.30 2.78 1.52 4.30 6.77 3.56 3.20 6.77 2.15
172.12 0.87 1.03 0.68 0.31 0.25 3.33 4.35 2.81 1.54 4.35 6.83 3.62 3.21 6.83 2.18
172.92 0.85 1.04 0.70 0.32 0.25 3.38 4.40 2.84 1.56 4.40 6.88 3.67 3.22 6.88 2.20
173.08 0.86 1.05 0.70 0.32 0.25 3.39 4.41 2.84 1.56 4.41 6.89 3.67 3.22 6.89 2.21
174.53 0.91 1.08 0.72 0.33 0.26 3.49 4.48 2.89 1.59 4.48 6.99 3.76 3.23 6.99 2.25
175.00 0.90 1.09 0.72 0.33 0.26 3.52 4.51 2.91 1.60 4.51 7.01 3.78 3.23 7.01 2.27
175.24 0.89 1.09 0.73 0.33 0.26 3.53 4.52 2.92 1.61 4.52 7.03 3.80 3.23 7.03 2.28
175.47 0.90 1.10 0.73 0.33 0.27 3.55 4.54 2.93 1.61 4.54 7.04 3.81 3.24 7.04 2.28
177.10 0.93 1.13 0.75 0.34 0.27 3.66 4.64 2.98 1.65 4.64 7.15 3.90 3.25 7.15 2.34
177.22 0.93 1.13 0.76 0.34 0.27 3.66 4.64 2.99 1.66 4.64 7.15 3.91 3.25 7.15 2.34
178.02 0.93 1.14 0.76 0.35 0.28 3.69 4.69 3.01 1.68 4.69 7.21 3.95 3.25 7.21 2.37
179.27 0.95 1.16 0.77 0.35 0.28 3.73 4.77 3.06 1.71 4.77 7.28 4.03 3.26 7.28 2.41
179.74 0.95 1.16 0.77 0.35 0.28 3.74 4.79 3.07 1.72 4.79 7.31 4.05 3.26 7.31 2.43
180.00 0.95 1.16 0.78 0.35 0.28 3.75 4.81 3.08 1.73 4.81 7.33 4.07 3.26 7.33 2.43
180.40 0.96 1.17 0.78 0.35 0.28 3.77 4.84 3.09 1.74 4.84 7.36 4.09 3.27 7.36 2.45
180.71 0.96 1.21 0.78 0.36 0.28 3.78 4.86 3.11 1.75 4.86 7.39 4.11 3.28 7.39 2.46
181.14 0.96 1.18 0.79 0.36 0.29 3.79 4.89 3.12 1.77 4.89 7.42 4.13 3.29 7.42 2.47
182.16 0.97 1.23 0.79 0.36 0.29 3.83 4.96 3.16 1.80 4.96 7.51 4.18 3.32 7.51 2.51
182.39 0.98 1.23 0.79 0.36 0.29 3.83 4.98 3.17 1.81 4.98 7.53 4.20 3.33 7.53 2.52
183.45 0.98 1.24 0.80 0.36 0.29 3.87 5.05 3.20 1.85 5.05 7.61 4.25 3.36 7.61 2.55
183.91 0.99 1.25 0.81 0.37 0.29 3.88 5.08 3.22 1.86 5.08 7.65 4.28 3.38 7.65 2.57
184.10 0.99 1.21 0.81 0.37 0.29 3.89 5.10 3.23 1.87 5.10 7.67 4.29 3.38 7.67 2.57
184.52 0.99 1.25 0.81 0.37 0.29 3.90 5.13 3.24 1.88 5.13 7.70 4.31 3.39 7.70 2.59
184.76 1.00 1.26 0.81 0.37 0.30 3.91 5.14 3.25 1.89 5.14 7.72 4.32 3.40 7.72 2.60
185.00 1.00 1.26 0.81 0.37 0.30 3.92 5.16 3.26 1.90 5.16 7.74 4.33 3.41 7.74 2.61
185.21 1.00 1.26 0.82 0.37 0.30 3.93 5.17 3.27 1.91 5.17 7.76 4.34 3.41 7.76 2.61
186.60 1.01 1.28 0.83 0.38 0.30 3.97 5.27 3.32 1.95 5.27 7.87 4.42 3.45 7.87 2.66
186.87 1.02 1.28 0.83 0.38 0.30 3.98 5.29 3.33 1.96 5.29 7.89 4.43 3.46 7.89 2.67
187.95 1.03 1.29 0.84 0.38 0.30 4.02 5.36 3.37 1.99 5.36 7.98 4.49 3.49 7.98 2.71
188.23 1.03 1.30 0.84 0.38 0.30 4.03 5.38 3.38 2.00 5.38 8.00 4.51 3.50 8.00 2.72
188.70 1.03 1.30 0.84 0.38 0.31 4.04 5.41 3.40 2.01 5.41 8.04 4.53 3.51 8.04 2.73
190.00 1.05 1.32 0.85 0.39 0.31 4.09 5.50 3.45 2.05 5.50 8.15 4.60 3.55 8.15 2.78
190.70 1.05 1.32 0.86 0.39 0.31 4.11 5.55 3.48 2.07 5.55 8.20 4.63 3.57 8.20 2.80
191.04 1.05 1.33 0.86 0.39 0.31 4.12 5.57 3.49 2.08 5.57 8.22 4.65 3.57 8.22 2.81
191.29 1.06 1.33 0.86 0.39 0.31 4.13 5.59 3.50 2.08 5.59 8.24 4.66 3.58 8.24 2.82
192.38 1.07 1.34 0.87 0.40 0.32 4.16 5.66 3.54 2.11 5.66 8.32 4.72 3.60 8.32 2.86
192.80 1.07 1.35 0.87 0.40 0.32 4.18 5.68 3.56 2.12 5.68 8.35 4.74 3.61 8.35 2.87
193.50 1.08 1.36 0.88 0.40 0.32 4.20 5.73 3.59 2.14 5.73 8.40 4.77 3.63 8.40 2.89
195.00 1.09 1.37 0.89 0.40 0.32 4.25 5.83 3.65 2.18 5.83 8.51 4.84 3.66 8.51 2.94
195.13 1.09 1.38 0.89 0.40 0.32 4.25 5.84 3.65 2.19 5.84 8.51 4.85 3.66 8.51 2.95
196.52 1.11 1.39 0.90 0.41 0.33 4.30 5.94 3.72 2.23 5.94 8.61 4.92 3.70 8.61 2.99
196.63 1.11 1.39 0.90 0.41 0.33 4.30 5.95 3.72 2.23 5.95 8.62 4.92 3.70 8.62 3.00
197.41 1.11 1.40 0.91 0.41 0.33 4.33 6.01 3.76 2.25 6.01 8.68 4.96 3.71 8.68 3.02
198.53 1.12 1.42 0.92 0.42 0.33 4.37 6.09 3.80 2.29 6.09 8.76 5.02 3.74 8.76 3.06
200.00 1.14 1.43 0.93 0.42 0.34 4.41 6.20 3.87 2.33 6.20 8.86 5.09 3.77 8.86 3.11
201.10 1.11 1.45 0.94 0.43 0.34 4.45 6.28 3.92 2.36 6.28 8.94 5.15 3.79 8.94 3.14
202.05 1.11 1.46 0.94 0.43 0.34 4.48 6.36 3.96 2.39 6.36 9.01 5.20 3.80 9.01 3.18
202.64 1.12 1.46 0.95 0.43 0.34 4.50 6.40 3.99 2.41 6.40 9.05 5.24 3.81 9.05 3.19
203.78 1.13 1.48 0.96 0.43 0.35 4.54 6.49 4.04 2.44 6.49 9.13 5.30 3.83 9.13 3.23
204.25 1.13 1.48 0.96 0.44 0.35 4.55 6.52 4.07 2.46 6.52 9.16 5.33 3.84 9.16 3.25
204.89 1.14 1.49 0.96 0.44 0.35 4.57 6.57 4.09 2.48 6.57 9.21 5.36 3.85 9.21 3.27
206.26 1.15 1.51 0.97 0.44 0.35 4.62 6.68 4.16 2.52 6.68 9.30 5.44 3.87 9.30 3.31
206.38 1.15 1.51 0.98 0.44 0.35 4.62 6.69 4.17 2.52 6.69 9.31 5.44 3.87 9.31 3.32
206.60 1.15 1.51 0.98 0.44 0.36 4.63 6.71 4.18 2.53 6.71 9.33 5.46 3.87 9.33 3.33
207.46 1.16 1.52 0.98 0.45 0.36 4.65 6.78 4.22 2.56 6.78 9.39 5.51 3.88 9.39 3.35
208.33 1.17 1.53 0.99 0.45 0.36 4.68 6.85 4.27 2.59 6.85 9.45 5.55 3.90 9.45 3.38
209.63 1.18 1.54 1.00 0.45 0.36 4.72 6.96 4.33 2.63 6.96 9.54 5.63 3.91 9.54 3.42
209.78 1.18 1.54 1.00 0.45 0.36 4.72 6.97 4.34 2.63 6.97 9.55 5.64 3.92 9.55 3.43
209.93 1.18 1.55 1.00 0.45 0.36 4.72 6.98 4.35 2.64 6.98 9.57 5.65 3.92 9.57 3.43
211.32 1.19 1.56 1.01 0.46 0.37 4.76 7.10 4.41 2.69 7.10 9.67 5.71 3.95 9.67 3.47
212.14 1.20 1.57 1.02 0.46 0.32 4.79 7.17 4.45 2.72 7.17 9.73 5.75 3.97 9.73 3.50
213.78 1.21 1.59 1.03 0.47 0.36 4.84 7.30 4.52 2.78 7.30 9.85 5.83 4.01 9.85 3.55
214.75 1.22 1.60 1.03 0.47 0.38 4.86 7.38 4.57 2.81 7.38 9.92 5.88 4.04 9.92 3.58
215.00 1.22 1.60 1.04 0.47 0.38 4.87 7.40 4.58 2.82 7.40 9.94 5.89 4.04 9.94 3.59
215.16 1.23 1.60 1.04 0.47 0.38 4.88 7.41 4.59 2.83 7.41 9.95 5.90 4.04 9.95 3.60
216.88 1.24 1.62 1.05 0.48 0.33 4.93 7.57 4.68 2.89 7.57 10.07 5.99 4.09 10.07 3.65
217.00 1.24 1.62 1.05 0.48 0.33 4.93 7.58 4.68 2.90 7.58 10.08 5.99 4.09 10.08 3.65
218.19 1.25 1.64 1.06 0.48 0.34 4.96 7.69 4.75 2.94 7.69 10.17 6.05 4.12 10.17 3.69
219.09 1.26 1.65 1.07 0.48 0.34 4.99 7.77 4.79 2.98 7.77 10.23 6.10 4.14 10.23 3.72
220.00 1.27 1.66 1.07 0.49 0.34 5.01 7.85 4.84 3.01 7.85 10.30 6.14 4.16 10.30 3.75
221.26 1.28 1.72 1.08 0.49 0.34 5.05 7.96 4.91 3.05 7.96 10.40 6.22 4.18 10.40 3.79
221.40 1.28 1.72 1.08 0.49 0.34 5.05 7.97 4.91 3.06 7.97 10.41 6.23 4.18 10.41 3.80
221.82 1.28 1.72 1.08 0.49 0.35 5.07 8.01 4.93 3.07 8.01 10.45 6.25 4.19 10.45 3.81
223.26 1.29 1.69 1.09 0.50 0.35 5.11 8.13 5.01 3.12 8.13 10.56 6.35 4.21 10.56 3.84
223.72 1.30 1.75 1.10 0.50 0.35 5.12 8.17 5.03 3.14 8.17 10.60 6.38 4.22 10.60 3.86
224.74 1.31 1.76 1.11 0.50 0.35 5.15 8.26 5.09 3.17 8.26 10.68 6.44 4.24 10.68 3.88
225.00 1.31 1.76 1.11 0.50 0.35 5.16 8.28 5.10 3.18 8.28 10.70 6.46 4.24 10.70 3.89
225.12 1.31 1.76 1.11 0.50 0.35 5.16 8.29 5.11 3.18 8.29 10.71 6.46 4.24 10.71 3.89
227.01 1.32 1.78 1.12 0.51 0.36 5.21 8.45 5.20 3.25 8.45 10.86 6.59 4.27 10.86 3.94
227.19 1.33 1.79 1.12 0.51 0.36 5.22 8.47 5.21 3.25 8.47 10.88 6.60 4.28 10.88 3.94
227.47 1.33 1.79 1.12 0.51 0.36 5.23 8.49 5.23 3.26 8.49 10.90 6.62 4.28 10.90 3.95
228.70 1.34 1.80 1.13 0.51 0.36 5.26 8.60 5.29 3.31 8.60 11.00 6.70 4.30 11.00 3.98
229.60 1.35 1.81 1.14 0.52 0.36 5.29 8.68 5.34 3.34 8.68 11.07 6.75 4.31 11.07 4.00
230.00 1.35 1.82 1.14 0.52 0.36 5.30 8.71 5.36 3.35 8.71 11.10 6.78 4.32 11.10 4.01
230.65 1.36 1.82 1.15 0.52 0.36 5.32 8.76 5.40 3.37 8.76 11.15 6.82 4.34 11.15 4.04
231.55 1.36 1.83 1.21 0.52 0.37 5.34 8.84 5.45 3.39 8.84 11.22 6.87 4.36 11.22 4.07
232.60 1.37 1.85 1.21 0.53 0.37 5.37 8.92 5.51 3.42 8.92 11.31 6.93 4.38 11.31 4.10
233.84 1.38 1.86 1.22 0.53 0.37 5.40 9.02 5.57 3.45 9.02 11.41 7.00 4.41 11.41 4.14
234.38 1.39 1.87 1.23 0.53 0.37 5.42 9.07 5.61 3.46 9.07 11.45 7.03 4.42 11.45 4.16
235.00 1.39 1.87 1.23 0.54 0.37 5.44 9.12 5.64 3.48 9.12 11.50 7.06 4.44 11.50 4.18
235.55 1.40 1.88 1.24 0.54 0.38 5.45 9.16 5.67 3.49 9.16 11.54 7.09 4.45 11.54 4.20
237.33 1.41 1.90 1.25 0.54 0.38 5.50 9.30 5.77 3.53 9.30 11.69 7.20 4.49 11.69 4.26
238.40 1.42 1.91 1.26 0.55 0.38 5.53 9.38 5.82 3.56 9.38 11.77 7.26 4.51 11.77 4.30
239.87 1.43 1.93 1.27 0.55 0.39 5.57 9.49 5.90 3.59 9.49 11.89 7.34 4.55 11.89 4.34
240.00 1.43 1.93 1.27 0.55 0.39 5.57 9.50 5.91 3.59 9.50 11.90 7.35 4.55 11.90 4.35
240.71 1.44 1.94 1.27 0.55 0.39 5.59 9.54 5.95 3.60 9.54 11.96 7.40 4.56 11.96 4.37
241.74 1.42 1.95 1.28 0.56 0.39 5.62 9.60 6.00 3.60 9.60 12.06 7.48 4.58 12.06 4.40
243.03 1.40 1.96 1.29 0.56 0.39 5.66 9.68 6.07 3.61 9.68 12.17 7.57 4.60 12.17 4.44
243.86 1.41 1.97 1.30 0.56 0.39 5.68 9.73 6.11 3.62 9.73 12.25 7.64 4.61 12.25 4.47
244.92 1.42 1.98 1.30 0.57 0.40 5.71 9.80 6.17 3.63 9.80 12.34 7.72 4.63 12.34 4.50
245.94 1.43 2.00 1.31 0.57 0.40 5.73 9.84 6.22 3.62 9.84 12.43 7.79 4.64 12.43 4.53
246.24 1.49 2.00 1.31 0.57 0.40 5.74 9.85 6.24 3.62 9.85 12.46 7.81 4.65 12.46 4.54
246.91 1.49 2.01 1.32 0.57 0.40 5.76 9.88 6.28 3.61 9.88 12.52 7.87 4.66 12.52 4.56
247.18 1.49 2.01 1.32 0.57 0.40 5.77 9.90 6.29 3.60 9.90 12.55 7.89 4.66 12.55 4.57
248.00 1.50 2.04 1.33 0.58 0.40 5.79 9.93 6.34 3.59 9.93 12.62 7.95 4.67 12.62 4.60
249.18 1.51 2.09 1.34 0.58 0.41 5.81 9.98 6.40 3.58 9.98 12.73 8.04 4.69 12.73 4.64
250.00 1.52 2.10 1.34 0.58 0.41 5.84 10.02 6.45 3.57 10.02 12.80 8.10 4.70 12.80 4.66
251.10 1.53 2.12 1.35 0.59 0.41 5.88 10.06 6.51 3.55 10.06 12.90 8.16 4.74 12.90 4.70
251.95 1.48 2.13 1.36 0.59 0.41 5.91 10.08 6.55 3.53 10.08 12.98 8.21 4.76 12.98 4.73
252.17 1.54 2.13 1.36 0.59 0.41 5.92 10.09 6.56 3.53 10.09 13.00 8.22 4.77 13.00 4.74
253.78 1.55 2.15 1.37 0.60 0.42 5.98 10.14 6.65 3.49 10.14 13.14 8.32 4.82 13.14 4.79
254.40 1.56 2.16 1.38 0.60 0.42 6.00 10.16 6.68 3.48 10.16 13.20 8.35 4.85 13.20 4.81
256.00 1.56 2.17 1.38 0.60 0.42 6.02 10.18 6.71 3.47 10.18 13.25 8.38 4.87 13.25 4.83
256.32 1.57 2.18 1.39 0.61 0.42 6.05 10.21 6.78 3.42 10.21 13.37 8.46 4.91 13.37 4.87
256.64 1.58 2.18 1.39 0.61 0.42 6.06 10.21 6.80 3.41 10.21 13.40 8.48 4.92 13.40 4.88
257.16 1.58 2.19 1.40 0.61 0.39 6.07 10.22 6.83 3.39 10.22 13.44 8.51 4.94 13.44 4.90
257.39 1.58 2.19 1.40 0.61 0.37 6.08 10.23 6.84 3.38 10.23 13.47 8.52 4.94 13.47 4.91
258.30 1.59 2.20 1.40 0.61 0.37 6.10 10.25 6.89 3.35 10.25 13.55 8.57 4.97 13.55 4.94
259.50 1.53 2.21 1.41 0.61 0.37 6.14 10.27 6.96 3.31 10.27 13.65 8.64 5.01 13.65 4.98
260.00 1.54 2.21 1.41 0.62 0.37 6.15 10.28 6.99 3.29 10.28 13.70 8.67 5.03 13.70 4.99
261.05 1.55 2.23 1.42 0.62 0.37 6.19 10.31 7.03 3.27 10.31 13.80 8.72 5.09 13.80 5.03
262.99 1.56 2.25 1.44 0.63 0.38 6.25 10.35 7.12 3.24 10.35 14.00 8.81 5.19 14.00 5.09
264.24 1.57 2.27 1.45 0.63 0.38 6.30 10.38 7.17 3.21 10.38 14.12 8.86 5.26 14.12 5.13
264.80 1.58 2.27 1.45 0.63 0.38 6.32 10.40 7.19 3.20 10.40 14.18 8.89 5.29 14.18 5.15
265.00 1.58 2.28 1.45 0.63 0.38 6.33 10.40 7.20 3.20 10.40 14.20 8.90 5.30 14.20 5.15
269.50 1.62 2.33 1.49 0.65 0.39 6.48 10.49 7.42 3.07 10.49 14.65 9.09 5.56 14.65 5.30
270.00 1.63 2.34 1.50 0.65 0.39 6.50 10.50 7.44 3.06 10.50 14.70 9.11 5.59 14.70 5.31
270.50 1.63 2.35 1.50 0.65 0.39 6.52 10.51 7.46 3.05 10.51 14.74 9.14 5.60 14.74 5.33
271.99 1.64 2.37 1.51 0.66 0.39 6.57 10.54 7.54 3.01 10.54 14.86 9.22 5.64 14.86 5.37
272.64 1.65 2.37 1.52 0.66 0.40 6.59 10.56 7.57 2.99 10.56 14.91 9.25 5.66 14.91 5.39
274.19 1.66 2.39 1.53 0.66 0.40 6.65 10.59 7.64 2.95 10.59 15.04 9.34 5.70 15.04 5.44
275.00 1.67 2.40 1.54 0.67 0.40 6.68 10.61 7.68 2.93 10.61 15.10 9.38 5.72 15.10 5.47
275.35 1.67 2.41 1.54 0.67 0.40 6.69 10.62 7.69 2.93 10.62 15.12 9.40 5.73 15.13 5.48
275.67 1.67 2.41 1.54 0.67 0.40 6.70 10.63 7.71 2.93 10.63 15.15 9.42 5.74 15.15 5.49
276.15 1.68 2.42 1.54 0.67 0.40 6.72 10.65 7.73 2.92 10.65 15.19 9.44 5.75 15.19 5.50
276.97 1.68 2.43 1.55 0.67 0.40 6.74 10.67 7.75 2.92 10.67 15.24 9.48 5.77 15.24 5.52
277.00 1.69 2.43 1.55 0.67 0.40 6.74 10.68 7.76 2.92 10.68 15.26 9.49 5.77 15.26 5.53
277.27 1.69 2.43 1.55 0.68 0.41 6.75 10.69 7.77 2.92 10.69 15.28 9.50 5.78 15.28 5.54
278.40 1.70 2.45 1.56 0.68 0.41 6.79 10.73 7.82 2.91 10.73 15.37 9.56 5.81 15.37 5.57
280.00 1.71 2.47 1.58 0.69 0.37 6.85 10.78 7.88 2.90 10.78 15.50 9.65 5.85 15.50 5.62
280.90 1.72 2.48 1.59 0.69 0.36 6.90 10.81 7.93 2.88 10.81 15.56 9.70 5.86 15.56 5.63
281.41 1.73 2.49 1.59 0.69 0.35 6.93 10.82 7.95 2.87 10.82 15.60 9.73 5.87 15.60 5.64
284.15 1.77 2.62 1.63 0.71 0.35 7.08 10.90 8.10 2.80 10.90 15.79 9.89 5.90 15.79 5.72
285.00 1.78 2.64 1.64 0.71 0.36 7.13 10.92 8.14 2.78 10.92 15.85 9.94 5.91 15.85 5.75
285.70 1.79 2.65 1.65 0.72 0.36 7.16 10.95 8.18 2.77 10.95 15.90 9.98 5.92 15.90 5.77
285.85 1.79 2.65 1.65 0.72 0.36 7.17 10.95 8.18 2.77 10.95 15.91 9.99 5.92 15.91 5.78
288.36 1.83 2.70 1.75 0.73 0.37 7.31 11.04 8.31 2.73 11.04 16.09 10.14 5.94 16.09 5.85
289.17 1.84 2.72 1.77 0.66 0.37 7.35 11.07 8.36 2.71 11.07 16.14 10.19 5.95 16.14 5.88
290.00 1.85 2.74 1.78 0.71 0.37 7.40 11.10 8.40 2.70 11.10 16.20 10.24 5.96 16.20 5.90
290.69 1.85 2.74 1.78 0.74 0.37 7.41 11.12 8.43 2.69 11.12 16.23 10.27 5.97 16.23 5.93
291.63 1.86 2.75 1.78 0.74 0.37 7.42 11.16 8.48 2.67 11.16 16.28 10.31 5.97 16.28 5.97
292.00 1.86 2.75 1.78 0.74 0.37 7.43 11.17 8.50 2.67 11.17 16.30 10.33 5.97 16.30 5.98
292.78 1.86 2.75 1.79 0.74 0.37 7.44 11.19 8.54 2.66 11.19 16.34 10.36 5.98 16.34 6.01
295.00 1.87 2.47 1.79 0.69 0.37 7.48 11.27 8.65 2.62 11.27 16.45 10.46 5.99 16.45 6.10
295.57 1.87 2.77 1.80 0.67 0.37 7.48 11.30 8.68 2.62 11.30 16.48 10.48 5.99 16.48 6.12
296.17 1.87 2.77 1.80 0.67 0.37 7.49 11.32 8.71 2.61 11.32 16.51 10.51 6.00 16.51 6.15
299.50 1.89 2.79 1.81 0.68 0.30 7.54 11.48 8.88 2.59 11.48 16.68 10.66 6.02 16.68 6.28
300.00 1.89 2.79 1.81 0.68 0.30 7.55 11.50 8.91 2.59 11.50 16.70 10.68 6.02 16.70 6.30
300.80 1.90 2.81 1.82 0.68 0.30 7.58 11.54 9.04 2.51 11.54 16.72 10.72 6.00 16.72 6.32
303.31 1.92 2.84 1.84 0.69 0.31 7.68 11.67 9.18 2.49 11.67 16.80 10.86 5.94 16.80 6.40
303.78 1.92 2.85 1.85 0.69 0.31 7.70 11.70 9.21 2.49 11.70 16.81 10.88 5.93 16.81 6.41
310.00 2.02 3.01 1.94 0.75 0.14 7.90 12.02 9.57 2.45 12.02 17.00 11.22 5.78 17.00 6.60
315.00 2.10 3.15 2.02 0.81 0.00 8.07 12.37 9.92 2.45 12.37 17.10 11.45 5.65 17.10 6.75
316.10 2.11 3.16 2.03 0.81 0.00 8.11 12.45 10.00 2.45 12.45 17.12 11.50 5.62 17.12 6.78
316.20 2.11 3.17 2.03 0.81 0.00 8.12 12.46 10.01 2.45 12.46 17.12 11.51 5.62 17.12 6.79
319.01 2.14 3.20 2.05 0.82 0.00 8.22 12.66 10.22 2.44 12.66 17.18 11.64 5.54 17.18 6.87
319.83 2.14 3.22 2.06 0.82 0.00 8.24 12.72 10.29 2.43 12.72 17.20 11.68 5.52 17.20 6.89
320.00 2.14 3.22 2.06 0.82 0.00 8.25 12.73 10.30 2.43 12.73 17.20 11.69 5.51 17.20 6.90
320.56 2.15 3.23 2.07 0.82 0.00 8.27 12.77 10.34 2.43 12.77 17.21 11.71 5.50 17.21 6.92
325.00 2.19 3.31 2.11 0.81 0.00 8.43 13.13 10.68 2.45 13.13 17.25 11.89 5.36 17.25 7.05
330.00 2.24 3.41 2.15 0.80 0.00 8.60 13.55 11.11 2.44 13.55 17.30 12.10 5.20 17.30 7.20
335.00 2.28 3.50 2.19 0.79 0.00 8.76 13.95 11.60 2.35 13.95 17.40 12.33 5.07 17.40 7.35
335.39 2.28 3.51 2.19 0.79 0.00 8.77 13.98 11.65 2.34 13.98 17.41 12.35 5.06 17.41 7.36
340.00 2.32 3.57 2.23 0.80 0.00 8.92 14.38 12.20 2.18 14.38 17.50 12.56 4.94 17.50 7.50
345.00 2.36 3.63 2.27 0.82 0.00 9.09 14.82 12.70 2.12 14.82 17.65 12.73 4.92 17.65 7.65
345.13 2.36 3.64 2.27 0.82 0.00 9.09 14.83 12.72 2.12 14.83 17.65 12.73 4.92 17.65 7.65
345.74 2.37 3.64 2.28 0.82 0.00 9.11 14.89 12.79 2.10 14.89 17.67 12.75 4.92 17.67 7.67
347.39 2.38 3.67 2.29 0.82 0.00 9.16 15.04 12.99 2.05 15.04 17.72 12.81 4.92 17.72 7.72
349.85 2.40 3.70 2.31 0.83 0.00 9.25 15.27 13.28 1.98 15.27 17.80 12.89 4.91 17.80 7.80
350.00 2.40 3.70 2.31 0.83 0.00 9.25 15.28 13.30 1.98 15.28 17.80 12.89 4.91 17.80 7.80
353.86 2.44 3.75 2.34 0.84 0.00 9.37 15.63 13.72 1.91 15.63 17.88 13.05 4.83 17.88 7.92
356.01 2.46 3.78 2.36 0.85 0.00 9.44 15.82 13.96 1.86 15.82 17.92 13.14 4.78 17.92 7.98
360.00 2.49 3.83 2.39 0.86 0.00 9.57 16.18 14.40 1.78 16.18 18.00 13.30 4.70 18.00 8.10
360.76 2.49 3.84 2.40 0.86 0.00 9.60 16.25 14.49 1.76 16.25 18.03 13.34 4.69 18.03 8.12
364.48 2.53 3.89 2.43 0.87 0.00 9.72 16.58 14.92 1.66 16.58 18.18 13.55 4.63 18.18 8.21
364.80 2.53 3.89 2.43 0.88 0.00 9.73 16.61 14.96 1.65 16.61 18.19 13.57 4.62 18.19 8.22
368.07 2.56 3.93 2.46 0.79 0.00 9.84 16.91 15.35 1.56 16.91 18.32 13.76 4.56 18.32 8.30
